,Code_insee,Libelle,Population municipale 2020,Latitude,Longitude
89,1077,Challes-la-Montagne,192,46.122300221,5.457513206
90,1078,Challex,1597,46.176874001,5.971497204
91,1079,Champagne-en-Valromey,822,45.93196511,5.6931331190000005
94,1080,Champdor-Corcelles,636,46.028576252,5.5880089040000005
96,1081,Champfromier,726,46.220471277,5.822270927
97,1082,Chanay,637,46.005822693,5.768694464
98,1083,Chaneins,965,46.093517041,4.854300227
99,1084,Chanoz-Chtenay,921,46.185700461,5.028865152
100,1085,La Chapelle-du-Chtelard,397,46.073407767,5.021766424
101,1087,Charix,279,46.185606234,5.680768417
102,1088,Charnoz-sur-Ain,902,45.874182776,5.221971236
103,1089,Chteau-Gaillard,2254,45.972849668,5.307314958
104,1090,Chtenay,361,46.025881406,5.204590322
105,1092,Chtillon-la-Palud,1622,45.974829804,5.241474204
106,1093,Chtillon-sur-Chalaronne,4968,46.122927177,4.957950327
107,1094,Chavannes-sur-Reyssouze,761,46.438056692,5.006564061
108,1095,Nivigne et Suran,843,46.283759087,5.426610623
110,1096,Chaveyriat,1033,46.199364763,5.056028558
111,1098,Chazey-Bons,1175,45.800812797,5.673644385
113,1099,Chazey-sur-Ain,1590,45.893242753,5.254787754
114,1100,Cheignieu-la-Balme,131,45.822895805,5.604830013
115,1101,Chevillard,152,46.110541974,5.581393787
116,1102,Chevroux,966,46.382465302,4.96295233
117,1103,Chevry,2226,46.283052925,6.047291131
118,1104,Chzery-Forens,453,46.222560403,5.872426209
120,1105,Civrieux,1867,45.922942274,4.88661781
121,1106,Cize,178,46.200571572,5.450819845
122,1107,Cleyzieu,136,45.902697686,5.432785798
123,1108,Coligny,1161,46.386677691,5.330424959
124,1109,Collonges,2230,46.14254416,5.8997020110000005
125,1110,Colomieu,159,45.736541941,5.627101669
126,1111,Conand,133,45.884053467,5.475347591
127,1112,Condamine,467,46.105853185,5.555763365
128,1113,Condeissiat,817,46.153630976,5.084742227
129,1114,Confort,693,46.154319846,5.832712881
130,1115,Confranon,1339,46.270495708,5.057684099
131,1116,Contrevoz,496,45.801189694,5.620039731
132,1117,Conzieu,150,45.725559026,5.60426246
133,1118,Corbonod,1279,45.966152692,5.789641772
134,1121,Corlier,116,46.033238796,5.49675279
135,1123,Cormoranche-sur-Sane,1159,46.241130758,4.827940144
136,1124,Cormoz,702,46.433602116,5.221431179
137,1125,Corveissiat,604,46.250905649,5.471571612
138,1127,Courmangoux,506,46.326589431,5.355779855
139,1128,Courtes,301,46.456933571,5.110909724
140,1129,Crans,303,45.966451737,5.195121184
141,1130,Bresse Vallons,2368,46.324861585,5.18476155
143,1133,Cressin-Rochefort,395,45.782891957,5.765321336
144,1134,Crottet,1792,46.283058978,4.877612001
146,1135,Crozet,2205,46.291682935,5.995342333
147,1136,Cruzilles-ls-Mpillat,922,46.221287172,4.875091409
148,1138,Culoz,2987,45.856261299,5.783896526
149,1139,Curciat-Dongalon,444,46.488378441,5.162792791
150,1140,Curtafond,764,46.272845103,5.102586674
151,1141,Cuzieu,443,45.819789364,5.676212455
152,1142,Dagneux,4765,45.853464731,5.072826764
153,1143,Divonne-les-Bains,9999,46.37578263,6.115899041
154,1145,Dompierre-sur-Veyle,1190,46.067062083,5.2163499810000005
155,1146,Dompierre-sur-Chalaronne,436,46.141693057,4.901548737
156,1147,Domsure,509,46.424615516,5.293568072
157,1148,Dortan,1892,46.313828684,5.641766262
158,1149,Douvres,1094,45.984380884,5.371822689
159,1150,Drom,214,46.219911371,5.368203702
160,1151,Druillat,1139,46.067401882,5.292863665
161,1152,challon,756,46.227375756,5.732820146
162,1153,chenevex,2123,46.316213201,6.019973941
163,1155,vosges,142,45.965059972,5.502978842
165,1157,Fareins,2339,46.02127524,4.76219161
166,1158,Farges,1053,46.166776481,5.900181528
167,1159,Feillens,3366,46.336262989,4.885623771
168,1160,Ferney-Voltaire,10612,46.251506821,6.107612983
169,1162,Flaxieu,65,45.811163575,5.74361882
170,1163,Foissiat,2016,46.37851841,5.184539825
171,1165,Francheleins,1586,46.073642487,4.812560271
174,1166,Frans,2417,45.993691889,4.780690701
175,1167,Garnerans,657,46.21348428,4.8289069090000005
176,1169,Genouilleux,651,46.120504129,4.793274771
177,1170,Bard-Govreissiat,1044,46.189954141,5.551650441
178,1171,Govreisset,830,46.251946688,5.613829996
179,1173,Gex,13177,46.347299128,6.046241081
180,1174,Giron,176,46.223710673,5.780900995
181,1175,Gorrevod,790,46.415025686,4.950803093
182,1177,Grand-Corent,184,46.207878942,5.433975906
183,1179,Griges,1884,46.263562027,4.8465959640000005
184,1180,Grilly,842,46.331834436,6.113479251
185,1181,Groissiat,1241,46.226480597,5.612552487
186,1183,Gureins,1487,46.106683459,4.782509441
189,1185,Plateau d'Hauteville,4824,45.939605942,5.583780117
193,1187,Haut Valromey,615,46.047457905,5.687540901
197,1188,Illiat,681,46.186478333,4.888314493
198,1189,Injoux-Gnissiat,1123,46.049881793,5.759597323
200,1190,Innimond,86,45.791574949,5.574649782
202,1192,Izernore,2272,46.21820091,5.563094625
203,1193,Izieu,220,45.655823494,5.63926904
204,1194,Jassans-Riottier,6337,45.978297107,4.759283906
205,1195,Jasseron,1822,46.214830635,5.312466653
207,1197,Journans,377,46.146728348,5.334420467
208,1198,Joyeux,266,45.950086711,5.102600154
209,1199,Jujurieux,2129,46.049910068,5.410944213
210,1200,Labalme,213,46.093436165,5.49340661
211,1202,Lagnieu,7214,45.891820194,5.329446323
212,1203,Laiz,1306,46.247074358,4.898839832
213,1204,Le Poizat-Lalleyriat,746,46.145021165,5.695220905
215,1206,Lantenay,274,46.054059837,5.54099209
216,1207,Lapeyrouse,314,45.985680859,4.98170543
217,1208,Lavours,135,45.810937073,5.772831597
218,1209,Laz,796,46.108668793,5.876787474
219,1210,Llex,231,46.285331599,5.928941563
220,1211,Lent,1397,46.116387961,5.201523196
221,1212,Lescheroux,712,46.411040706,5.15082556
222,1213,Leyment,1332,45.927266966,5.294538891
223,1214,Leyssard,161,46.16192206,5.476245851
226,1216,Lhuis,893,45.744604033,5.53583426
227,1219,Lompnas,162,45.810512662,5.523048258
228,1224,Loyettes,3296,45.792262182,5.217785116
229,1225,Lurcy,383,46.061964713,4.780685202
230,1227,Magnieu,642,45.778861375,5.722906834
232,1228,Maillat,668,46.120131816,5.528443347
233,1229,Malafretaz,1226,46.328995834,5.143009412
234,1230,Mantenay-Montlin,310,46.430174586,5.106638908
235,1231,Manziat,1948,46.364247112,4.902989911
236,1232,Marboz,2275,46.343877245,5.24375592
237,1233,Marchamp,130,45.77399082,5.55054354
238,1234,Marignieu,167,45.801447694,5.715805868
239,1235,Marlieux,1179,46.055368436,5.074409772
240,1236,Marsonnas,1021,46.340668542,5.064185832
241,1237,Martignat,1674,46.202593204,5.61376153
242,1238,Massieux,2709,45.909282243,4.826875301
243,1239,Massignieu-de-Rives,631,45.757141127,5.762888041
246,1241,Meillonnas,1379,46.245164982,5.336325687
248,1243,Messimy-sur-Sane,1262,46.04728803,4.759551775
249,1244,Meximieux,7998,45.906490344,5.203567359
250,1245,Bohas-Meyriat-Rignat,950,46.14240142,5.378302588
253,1246,Mzriat,2204,46.242427918,5.047836407
254,1247,Mijoux,299,46.361563083,6.008141903
256,1248,Mionnay,2245,45.895925975,4.924322242
257,1249,Miribel,10202,45.844720633,4.940785036
260,1250,Misrieux,1979,45.976356834,4.810746584
262,1254,Montagnat,2142,46.168529382,5.279365371
265,1258,Montceaux,1194,46.096201232,4.80371646
266,1259,Montcet,708,46.219581293,5.111362841
267,1260,Le Montellier,304,45.928791326,5.071383306
269,1262,Montluel,6864,45.88696826,5.006439066
272,1263,Montmerle-sur-Sane,3761,46.085349049,4.760480813
273,1264,Montracol,1017,46.186589896,5.117246219
274,1265,Montral-la-Cluse,3499,46.179368209,5.595171755
275,1266,Montrevel-en-Bresse,2576,46.324969841,5.112512602
276,1267,Nurieux-Volognat,1008,46.183432397,5.5145568140000005
278,1268,Murs-et-Glignieux,244,45.642252093,5.660672595
279,1269,Nantua,3453,46.154014849,5.6130774070000005
282,1273,Neuville-sur-Ain,1799,46.090992482,5.374225158
283,1274,Les Neyrolles,632,46.135482729,5.637659804
284,1275,Neyron,2596,45.818849625,4.930893467
285,1276,Nivroz,1627,45.822376041,5.059412772
286,1277,Nivollet-Montgriffon,115,45.999773507,5.458408258
287,1279,Oncieu,77,45.965268733,5.471426786
289,1281,Ornex,4591,46.277348698,6.094057682
290,1282,Outriaz,258,46.067320468,5.556794597
291,1283,Oyonnax,22271,46.261174589,5.652522302
294,1284,Ozan,700,46.387267599,4.917717963
296,1286,Parves et Nattages,959,45.731042721,5.74554129
298,1288,Pron,2777,46.191651696,5.919739776
299,1289,Pronnas,6460,46.171445721,5.217695172
300,1290,Prouges,1309,45.880954446,5.179578034
301,1291,Perrex,844,46.246600639,4.974132197
302,1293,Peyriat,145,46.149983094,5.505681228
303,1294,Peyrieu,897,45.676372165,5.679913666
304,1295,Peyzieux-sur-Sane,676,46.122308302,4.822997201
305,1296,Pirajoux,413,46.38527423,5.274506777
306,1297,Pizay,890,45.892082637,5.089116402
307,1298,Plagne,157,46.187663445,5.717614314
308,1299,Le Plantay,589,46.022890163,5.089040398
309,1301,Polliat,2606,46.246261733,5.138026638
310,1302,Pollieu,165,45.796850297,5.7482441
311,1303,Poncin,1696,46.089241591,5.416477869
312,1304,Pont-d'Ain,2904,46.054298976,5.346959857
313,1305,Pont-de-Vaux,2195,46.442474679,4.9287626190000005
314,1306,Pont-de-Veyle,1637,46.263130344,4.881934778
315,1307,Port,840,46.156073474,5.57575885
316,1308,Pougny,803,46.144939074,5.950219547
317,1309,Pouillat,83,46.322247823,5.423675216
318,1310,Prmeyzel,249,45.680663363,5.6445191900000005
319,1311,Prmillieu,44,45.876640987,5.56447492
320,1313,Prvessin-Mons,8948,46.258394588,6.072289047
322,1314,Priay,1725,46.020155822,5.284298471
323,1317,Ramasse,331,46.190387888,5.355609423
324,1318,Ranc,735,45.967701639,4.863876498
326,1320,Replonges,3833,46.307689018,4.8750589810000005
327,1321,Revonnas,892,46.16166052,5.335646174
328,1322,Reyrieux,5050,45.936961491,4.828653591
329,1323,Reyssouze,1018,46.428820389,4.913367601
330,1325,Rignieux-le-Franc,1065,45.952055457,5.169195101
331,1328,Romans,606,46.123828349,5.02137821
333,1330,Ruffieu,180,46.004168068,5.653050149
335,1332,Saint-Andr-de-Bg,792,46.298105786,4.913974008
337,1334,Saint-Andr-d'Huiriat,680,46.214063464,4.912995141
338,1335,Saint-Andr-le-Bouchoux,410,46.113278406,5.079827089
339,1336,Saint-Andr-sur-Vieux-Jonc,1187,46.149285285,5.141324716
340,1337,Saint-Bnigne,1336,46.452112405,4.9530917290000005
341,1338,Grosle-Saint-Benoit,1245,45.69767397,5.58124515
343,1339,Saint-Bernard,1484,45.949160246,4.741402311
344,1342,Sainte-Croix,546,45.896004701,5.049282497
346,1344,Saint-Denis-ls-Bourg,5971,46.211139007,5.184567751
348,1346,Saint-Didier-d'Aussiat,852,46.307401075,5.058557969
349,1347,Saint-Didier-de-Formans,2072,45.956574243,4.777830037
350,1348,Saint-Didier-sur-Chalaronne,3003,46.184466911,4.816238863
351,1349,Saint-loi,523,45.933000622,5.151304829
352,1350,Saint-tienne-du-Bois,2538,46.274684341,5.283804909
353,1351,Saint-tienne-sur-Chalaronne,1602,46.146898864,4.867333819
354,1352,Saint-tienne-sur-Reyssouze,586,46.403232881,5.005524226
355,1353,Sainte-Euphmie,1723,45.967185072,4.794836579
356,1354,Saint-Genis-Pouilly,14274,46.254292166,6.036377482
357,1355,Saint-Genis-sur-Menthon,484,46.282127138,5.013710668
358,1356,Saint-Georges-sur-Renon,203,46.103915441,5.029419348
359,1357,Saint-Germain-de-Joux,502,46.182349687,5.74678702
360,1358,Saint-Germain-les-Paroisses,426,45.770985934,5.617843193
361,1359,Saint-Germain-sur-Renon,251,46.080092442,5.060333912
362,1360,Saint-Jean-de-Gonville,1934,46.217861937,5.941584733
363,1361,Saint-Jean-de-Niost,1600,45.840237105,5.212072654
364,1362,Saint-Jean-de-Thurigneux,809,45.959964264,4.899447068
365,1363,Saint-Jean-le-Vieux,1786,46.029238504,5.383430096
366,1364,Saint-Jean-sur-Reyssouze,767,46.397230407,5.063110246
367,1365,Saint-Jean-sur-Veyle,1165,46.268413023,4.92282422
368,1366,Sainte-Julie,1088,45.881929237,5.284256844
371,1369,Saint-Just,955,46.193166212,5.284094836
373,1371,Saint-Marcel,1221,45.948490368,4.989610452
374,1372,Saint-Martin-de-Bavel,441,45.848154791,5.679072745
375,1373,Saint-Martin-du-Frne,1009,46.136010859,5.571551452
376,1374,Saint-Martin-du-Mont,1877,46.106037536,5.32566619
377,1375,Saint-Martin-le-Chtel,788,46.291122506,5.122470045
378,1376,Saint-Maurice-de-Beynost,4066,45.833245116,4.977534167
379,1378,Saint-Maurice-de-Gourdans,2699,45.819991522,5.170225884
380,1379,Saint-Maurice-de-Rmens,762,45.953056847,5.27042503
381,1380,Saint-Nizier-le-Bouchoux,612,46.452669456,5.17552541
382,1381,Saint-Nizier-le-Dsert,920,46.052763315,5.142036349
383,1382,Sainte-Olive,305,46.014041877,4.936006075
384,1383,Saint-Paul-de-Varax,1583,46.09554189,5.127602048
385,1384,Saint-Rambert-en-Bugey,2172,45.950974834,5.440151097
386,1385,Saint-Rmy,964,46.184238339,5.167708731
387,1386,Saint-Sorlin-en-Bugey,1117,45.88627813,5.376602824
388,1387,Saint-Sulpice,256,46.320649871,5.041695744
389,1388,Saint-Trivier-de-Courtes,1116,46.461440157,5.066523976
390,1389,Saint-Trivier-sur-Moignans,1823,46.061773631,4.900835837
391,1390,Saint-Vulbas,1247,45.822405324,5.270397867
392,1391,Salavre,273,46.363763372,5.34719405
393,1392,Samognat,654,46.264289324,5.585536911
394,1393,Sandrans,555,46.065529744,4.982157044
395,1396,Sault-Brnaz,987,45.865304092,5.403592522
396,1397,Sauverny,988,46.312789714,6.110162402
397,1398,Savigneux,1438,45.997204438,4.857494223
398,1399,Sgny,2145,46.294128946,6.073314738
399,1400,Seillonnaz,139,45.797149229,5.497658476
400,1401,Sergy,2209,46.263126375,5.988920778
401,1402,Sermoyer,650,46.498451286,4.977943541
402,1403,Serrires-de-Briord,1310,45.813182663,5.441558147
403,1404,Serrires-sur-Ain,134,46.146273372,5.44962828
404,1405,Servas,1273,46.139240323,5.179306262
405,1406,Servignat,173,46.434998753,5.05544071
406,1407,Seyssel,1006,45.948191171,5.826182273
407,1408,Simandre-sur-Suran,659,46.233965118,5.422597476
410,1411,Souclin,271,45.878018555,5.430669842
411,1412,Sulignat,611,46.173182813,4.957236347
412,1415,Talissieu,524,45.86344657,5.720504574
413,1416,Tenay,1012,45.922821474,5.514615073
414,1418,Thil,1103,45.816843857,5.017557044
415,1419,Thoiry,6119,46.243643952,5.965281658
416,1420,Thoissey,1664,46.170610767,4.795519066
417,1421,Torcieu,734,45.921618955,5.403421297
418,1422,Tossiat,1354,46.138520943,5.303608596
419,1423,Toussieux,1169,45.96023469,4.829116506
421,1425,La Tranclire,284,46.097100352,5.261453169
422,1426,Val-Revermont,2506,46.285726208,5.363443289
425,1427,Trvoux,6945,45.941022518,4.770446779
426,1428,Valeins,128,46.114578347,4.8651703170000005
427,1429,Vandeins,714,46.217405549,5.081415357
429,1431,Vaux-en-Bugey,1224,45.920191061,5.364013485
430,1432,Verjon,333,46.345951929,5.348487018
431,1433,Vernoux,306,46.484922126,5.105684134
432,1434,Versailleux,488,45.985673328,5.11240819
433,1435,Versonnex,2146,46.300064513,6.100716829
434,1436,Vesancy,492,46.36148508,6.084582259
435,1437,Vescours,221,46.474718732,5.02614741
436,1439,Vsines,99,46.358983391,4.862419053
437,1441,Vieu-d'Izenave,743,46.085226859,5.549465493
438,1443,Villars-les-Dombes,4946,45.99261764,5.044997679
439,1444,Villebois,1195,45.848455252,5.447387286
441,1446,Villeneuve,1562,46.031517691,4.851344312
442,1447,Villereversure,1345,46.192385749,5.394699049
443,1448,Villes,394,46.095438878,5.7578721
444,1449,Villette-sur-Ain,760,46.009841816,5.252083338
445,1450,Villieu-Loyes-Mollon,3755,45.932316137,5.229523775
448,1451,Viriat,6665,46.250752259,5.223071857
449,1452,Virieu-le-Grand,1127,45.846709605,5.639958553
454,1454,Virignin,1118,45.726775376,5.713059123
455,1456,Vongnes,71,45.812976581,5.724569949
456,1457,Vonnas,3198,46.216716077,4.997308805
457,2001,Abbcourt,505,49.599684482,3.176852327
458,2002,Achery,602,49.694004156,3.397491579
459,2003,Acy,1019,49.346919586,3.418183101
460,2004,Agnicourt-et-Schelles,185,49.716473106,3.961000078
461,2005,Aguilcourt,382,49.393733209,3.967807801
462,2006,Aisonville-et-Bernoville,260,49.930322863,3.511399522
463,2007,Aizelles,120,49.485003991,3.818515071
466,2009,Alaincourt,531,49.76637858,3.367160265
467,2010,Allemant,171,49.46254392,3.453354876
469,2012,Ambrief,73,49.321494733,3.403714795
470,2013,Amifontaine,390,49.498637877,3.922881332
471,2014,Amigny-Rouy,721,49.610759195,3.302789238
472,2015,Ancienville,74,49.218878777,3.208246989
473,2016,Andelain,215,49.641183256,3.36941838
475,2018,Anizy-le-Grand,2587,49.516096173,3.453032228
478,2019,Annois,359,49.719521853,3.176029474
479,2020,Any-Martin-Rieux,455,49.881643579,4.223934549
480,2021,Archon,82,49.74412009,4.119783314
481,2022,Arcy-Sainte-Restitue,401,49.25492425,3.478630764
483,2023,Armentires-sur-Ourcq,101,49.174033511,3.387020839
484,2024,Arrancy,49,49.49882629,3.764222249
485,2025,Artemps,367,49.761601531,3.197375465
486,2027,Assis-sur-Serre,210,49.680564098,3.554556194
487,2028,Athies-sous-Laon,2597,49.575911394,3.69000239
489,2030,Aubencheul-aux-Bois,254,50.024078162,3.26116661
492,2033,Aubigny-en-Laonnois,102,49.496989712,3.792304044
494,2035,Audigny,283,49.866346754,3.631923253
495,2036,Augy,70,49.340243776,3.511049877
496,2037,Aulnois-sous-Laon,1380,49.619869289,3.609481451
497,2038,Les Autels,60,49.761134671,4.224088906
498,2039,Autremencourt,174,49.70534608,3.793573722
500,2041,Autreville,815,49.585695102,3.236661356
501,2042,Azy-sur-Marne,379,49.004386609,3.359999375
502,2043,Bagneux,64,49.459937203,3.279039827
503,2044,Bancigny,24,49.798022992,4.036526042
504,2046,Barenton-Bugny,557,49.622089709,3.661783996
505,2047,Barenton-Cel,108,49.647693941,3.645155045
507,2049,Barisis-aux-Bois,740,49.577527949,3.32757202
508,2050,Barzy-en-Thirache,320,50.039756081,3.749280061
509,2051,Barzy-sur-Marne,391,49.091339484,3.561668993
510,2052,Bassoles-Aulers,132,49.533310631,3.384826586
511,2053,Valles en Champagne,573,49.007940641,3.616555648
514,2054,Bazoches-et-Saint-Thibaut,532,49.30645766,3.615341588
516,2055,Beaum,87,49.820841965,4.151946912
518,2057,Beaurevoir,1411,49.996670013,3.330066029
519,2058,Beaurieux,851,49.402093342,3.752392574
520,2059,Beautor,2718,49.648276469,3.338127887
521,2060,Beauvois-en-Vermandois,255,49.83415186,3.103106259
522,2061,Becquigny,245,50.016098444,3.459927294
525,2064,Belleu,3762,49.357066699,3.340164292
526,2065,Bellicourt,587,49.959346714,3.23015235
527,2066,Benay,193,49.755611918,3.308492655
528,2067,Bergues-sur-Sambre,209,50.029607785,3.711923338
529,2068,Berlancourt,85,49.780638512,3.755414842
530,2069,Berlise,105,49.66197933,4.113421397
533,2072,Berrieux,183,49.482937389,3.852502532
534,2073,Berry-au-Bac,687,49.408645633,3.899004938
535,2074,Bertaucourt-Epourdon,592,49.627338651,3.397352094
536,2075,Berthenicourt,194,49.778621574,3.372640357
537,2076,Bertricourt,153,49.397338066,4.012072495
539,2078,Besm,164,49.534048357,3.163311485
540,2079,Besmont,147,49.823483767,4.117458406
542,2081,Bthancourt-en-Vaux,432,49.629077416,3.140744432
543,2082,Beugneux,110,49.227311242,3.416475399
544,2083,Beuvardes,751,49.130704921,3.491652186
546,2085,Bzu-Saint-Germain,1003,49.104822187,3.40829274
547,2086,Bichancourt,999,49.57913903,3.212643827
548,2087,Bieuxy,34,49.447456964,3.269941259
549,2088,Bivres,88,49.492525273,3.714128715
550,2089,Billy-sur-Aisne,1146,49.355352711,3.375941298
552,2091,Blanzy-ls-Fismes,94,49.336973064,3.671446859
554,2094,Blesmes,469,49.026472378,3.464235685
555,2095,Bohain-en-Vermandois,5703,49.989026719,3.465007059
557,2097,Boncourt,261,49.626439946,3.956108855
558,2098,Bonneil,378,49.008052561,3.345784073
559,2099,Bonnesvalyn,216,49.126198595,3.32510263
560,2100,Bony,138,49.990651457,3.220766101
561,2101,Bosmont-sur-Serre,186,49.739164547,3.866951038
562,2102,Bouconville-Vauclair,188,49.460193485,3.756684634
563,2103,Bou,1331,50.011550543,3.714459526
564,2104,Bouffignereux,98,49.378528828,3.846143285
566,2106,Bourg-et-Comin,810,49.402887168,3.659773112
568,2108,Bourguignon-sous-Montbavin,158,49.529088286,3.537037569
569,2109,La Bouteille,473,49.878288472,3.96176401
570,2110,Braine,2232,49.348518224,3.536763117
572,2112,Brancourt-le-Grand,554,49.980556024,3.394377197
573,2114,Brasles,1558,49.057012938,3.42403027
576,2117,Bray-Saint-Christophe,67,49.774144853,3.141582586
577,2118,Braye,129,49.422387936,3.376975383
578,2119,Brcy,321,49.140371179,3.423549684
579,2120,Brenelle,196,49.368284047,3.54436136
580,2121,Breny,237,49.184262001,3.350004368
581,2122,Brie,55,49.597375488,3.473167317
585,2126,Brunehamel,448,49.771382057,4.186261479
586,2127,Bruyres-sur-Fre,191,49.199671957,3.445415703
587,2128,Bruyres-et-Montbrault,1447,49.524775786,3.669533869
588,2129,Bruys,19,49.261914887,3.568519675
589,2130,Bucilly,198,49.866351037,4.09342038
590,2131,Bucy-le-Long,1883,49.387973822,3.398519722
592,2133,Bucy-ls-Pierrepont,403,49.646348774,3.903113266
593,2134,Buire,854,49.907619378,4.056800114
594,2135,Buironfosse,1148,49.958217815,3.83827898
596,2137,Bussiares,151,49.076557021,3.250333474
597,2138,Buzancy,200,49.310243779,3.347968795
598,2139,Cailloul-Crpigny,447,49.617755672,3.121707969
599,2140,Camelin,457,49.52049848,3.127624347
601,2141,La Capelle,1772,49.973535545,3.913302584
604,2144,Caulaincourt,140,49.864831923,3.111035178
605,2145,Caumont,545,49.637686756,3.172916368
606,2146,Celles-ls-Cond,96,49.01485859,3.569453258
609,2150,Cerny-en-Laonnois,62,49.450196586,3.679121433
612,2153,Cessires-Suzy,775,49.558013373,3.48118285
614,2154,Chacrise,365,49.299932209,3.397501152
615,2155,Chaillevois,177,49.508011773,3.522228189
617,2157,Chambry,834,49.598625529,3.671806573
619,2159,Champs,302,49.54391254,3.261593233
620,2160,Chaourse,527,49.70058224,3.985961293
621,2162,La Chapelle-sur-Chzy,298,48.949543456,3.376327211
622,2163,Charly-sur-Marne,2585,48.987508694,3.292271602
624,2165,Charmes,1655,49.650915124,3.384799677
626,2167,Chassemy,888,49.377956997,3.5022180460000003
627,2168,Chteau-Thierry,15306,49.056425662,3.381541175
628,2169,Chtillon-ls-Sons,84,49.761912822,3.702869899
629,2170,Chtillon-sur-Oise,124,49.793931936,3.416909399
630,2171,Chaudardes,90,49.396446073,3.789258777
632,2173,Chauny,11438,49.619538899,3.219139283
633,2174,Chavignon,835,49.479022495,3.518689564
635,2176,Chavonne,207,49.407528707,3.562380284
636,2177,Chrt,141,49.514292728,3.686902535
638,2179,Chry-Chartreuve,381,49.255681433,3.604732022
643,2184,Chevresis-Monceau,346,49.761675335,3.5828212180000003
644,2185,Chzy-en-Orxois,385,49.126870891,3.168015889
648,2189,Chivres-en-Laonnois,345,49.626903051,3.855468948
650,2191,Chivy-ls-touvelles,511,49.532848303,3.585053697
651,2192,Chouy,370,49.216959296,3.247470895
653,2194,Cilly,179,49.749214967,3.840427798
654,2195,Ciry-Salsogne,900,49.367262408,3.467612315
656,2197,Clairfontaine,530,49.974089631,3.986389624
657,2198,Clamecy,228,49.428547607,3.363807361
